ID,Type,Resource Calendar Interface ID,Reservation Content ID,開始日時,終了日時,Summary,店名,リソース名,タイプ,カテゴリ,人数制限
1,予約,RC001,RES001,"2025-11-16, 10:00","2025-11-16, 12:00",会議室A予約,東京店,会議室A,会議室,ビジネス,10
2,予約,RC002,RES002,"2025-11-16, 14:00","2025-11-16, 16:00",セミナールーム予約,東京店,セミナールーム,会議室,セミナー,30
3,予約,RC003,RES003,"2025-11-17, 09:00","2025-11-17, 11:00",会議室B予約,大阪店,会議室B,会議室,ビジネス,8
4,予約,RC004,RES004,"2025-11-17, 13:00","2025-11-17, 15:00",イベントスペース予約,大阪店,イベントスペース,イベント,展示会,50
5,予約,RC005,RES005,"2025-11-18, 10:00","2025-11-18, 12:00",会議室A予約,東京店,会議室A,会議室,ビジネス,10
6,予約,RC006,RES006,"2025-11-18, 14:00","2025-11-18, 17:00",研修ルーム予約,名古屋店,研修ルーム,会議室,研修,20
7,予約,RC007,RES007,"2025-11-19, 09:00","2025-11-19, 12:00",会議室C予約,名古屋店,会議室C,会議室,ビジネス,12
8,予約,RC008,RES008,"2025-11-19, 14:00","2025-11-19, 16:00",セミナールーム予約,東京店,セミナールーム,会議室,セミナー,30
9,予約,RC009,RES009,"2025-11-20, 10:00","2025-11-20, 13:00",ワークショップルーム予約,福岡店,ワークショップルーム,イベント,ワークショップ,25
10,予約,RC010,RES010,"2025-11-20, 15:00","2025-11-20, 18:00",コワーキングスペース予約,福岡店,コワーキングスペース,作業場,ビジネス,15
11,予約,RC011,RES011,"2025-11-21, 09:00","2025-11-21, 11:00",会議室A予約,東京店,会議室A,会議室,ビジネス,10
12,予約,RC012,RES012,"2025-11-21, 13:00","2025-11-21, 15:00",会議室B予約,大阪店,会議室B,会議室,ビジネス,8
13,予約,RC013,RES013,"2025-11-22, 10:00","2025-11-22, 12:00",イベントスペース予約,大阪店,イベントスペース,イベント,展示会,50
14,予約,RC014,RES014,"2025-11-22, 14:00","2025-11-22, 16:00",研修ルーム予約,名古屋店,研修ルーム,会議室,研修,20
15,予約,RC015,RES015,"2025-11-23, 09:00","2025-11-23, 12:00",セミナールーム予約,東京店,セミナールーム,会議室,セミナー,30
16,予約,RC001,RES001,"2025-11-16, 10:00","2025-11-16, 12:00",会議室A予約,東京店,会議室A,会議室,ビジネス,10
17,予約,RC016,RES016,"2025-12-01, 10:00","2025-12-01, 13:00",新年ミーティング,東京店,会議室A,会議室,ビジネス,10
18,予約,RC017,RES017,"2025-12-02, 14:00","2025-12-02, 17:00",プロジェクト会議,大阪店,会議室B,会議室,ビジネス,8
19,予約,RC018,RES018,"2025-12-03, 09:00","2025-12-03, 11:00",クライアント打ち合わせ,名古屋店,会議室C,会議室,ビジネス,12
20,予約,RC019,RES019,"2025-12-04, 13:00","2025-12-04, 16:00",年末セミナー,福岡店,セミナールーム,会議室,セミナー,30
